"Submission ID","Last updated","Submission started","Status","Current step","La Mecachacha Andaluza | Super Mario Galaxy","Los Diminutos | Rayman Legends","Bartolomeo | Assassin's Creed 2, Assassin's Creed Brotherhood","Príncipe Gris Zote | Hollow Knight","Rabbid Peach | Mario + Rabbids: Kingdom Battle","Nombre","Errors","Url","Network ID"
"54ea67d6-52d5-448f-ba64-eef5bc4d54d6","Thu Feb 12 2026 01:58:00 GMT+0100 (hora estándar de Europa central)","Thu Feb 12 2026 01:58:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","875","825","900","800","1000","Cáster","None","https://build.fillout.com/editor/qrThSmbci1us/results?sessionId=54ea67d6-52d5-448f-ba64-eef5bc4d54d6","dd3dd4cb234ddd78bf064e0bec39bcf3"
"de618e16-3d5d-439c-879d-b689c2d72997","Mon Feb 09 2026 12:50:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 09 2026 12:50:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","800","800","950","900","Ana","None","https://build.fillout.com/editor/qrThSmbci1us/results?sessionId=de618e16-3d5d-439c-879d-b689c2d72997","bcb54be30852e9b4bd989632764369df"
"97ca50a3-b16c-4fad-8d1e-e7f509f6d49e","Wed Jan 28 2026 13:18:00 GMT+0100 (hora estándar de Europa central)","Wed Jan 28 2026 13:18:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","875","800","975","925","1000","Pablo","None","https://build.fillout.com/editor/qrThSmbci1us/results?sessionId=97ca50a3-b16c-4fad-8d1e-e7f509f6d49e","9dbaf1e347b3a595b74c9e8d56d36404"
