"Submission ID","Last updated","Submission started","Status","Current step","Little Nightmares II","Oxenfree","Oxenfree II: Lost Signals","Senua's Saga: Hellblade II","Batman: Arkham Knight","Nombre","Errors","Url","Network ID"
"3ccbfab3-8913-4939-b961-12a4601db42a","Mon Feb 24 2025 02:30:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 24 2025 02:30:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","933","925","925","960","875","Cáster","None","https://build.fillout.com/editor/mHyzuhZ8Fcus/results?sessionId=3ccbfab3-8913-4939-b961-12a4601db42a","95c70f5978eae9954e3f52b64af961cd"
"207c2107-1668-4325-828a-7513e1f57af4","Sat Feb 08 2025 12:04:00 GMT+0100 (hora estándar de Europa central)","Sat Feb 08 2025 12:04:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","900","875","800","925","Pablo","None","https://build.fillout.com/editor/mHyzuhZ8Fcus/results?sessionId=207c2107-1668-4325-828a-7513e1f57af4","7ba4a41dfa0f97ee3f1b051da77e9a79"
"11be162e-e8be-4efe-8733-97198c4cb629","Sun Feb 02 2025 16:14:00 GMT+0100 (hora estándar de Europa central)","Sun Feb 02 2025 16:14:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","950","900","850","800","Sergio","None","https://build.fillout.com/editor/mHyzuhZ8Fcus/results?sessionId=11be162e-e8be-4efe-8733-97198c4cb629","e44695648cd50d72d870073e35c0ca25"
