"Submission ID","Last updated","Submission started","Status","Current step","José Padilla (Voz de el Joker en español) (Batman: Arkham Trilogy)","Trey Parket (Voz original de Cartman) (South Park: The Stick of Truth)","Melina Juergens (Actriz de Senua) (Senua's Saga: Hellblade II)","Cristina Peña (Voz internacional de Alba) (Neva)","Claudio Serrano (Voz de Batman en español) (Batman: Arkham Trilogy)","Nombre","Errors","Url","Network ID"
"b2914b5c-0287-479b-9255-c2cd71bad9a6","Mon Feb 24 2025 02:08:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 24 2025 02:08:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","925","975","900","975","Cáster","None","https://build.fillout.com/editor/srgb4BB1Pbus/results?sessionId=b2914b5c-0287-479b-9255-c2cd71bad9a6","95c70f5978eae9954e3f52b64af961cd"
"63579078-fa27-4cff-8935-519471ed3437","Sat Feb 08 2025 12:57:00 GMT+0100 (hora estándar de Europa central)","Sat Feb 08 2025 12:57:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","850","975","750","990","Pablo","None","https://build.fillout.com/editor/srgb4BB1Pbus/results?sessionId=63579078-fa27-4cff-8935-519471ed3437","7ba4a41dfa0f97ee3f1b051da77e9a79"
"aab5d557-60a5-44ec-bfa5-dd22a46d832b","Sun Feb 02 2025 16:36:00 GMT+0100 (hora estándar de Europa central)","Sun Feb 02 2025 16:36:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","1000","900","800","950","Sergio","None","https://build.fillout.com/editor/srgb4BB1Pbus/results?sessionId=aab5d557-60a5-44ec-bfa5-dd22a46d832b","e44695648cd50d72d870073e35c0ca25"
