"Submission ID","Last updated","Submission started","Status","Current step","Joker (Batman: Arkham Trilogy)","Batman (Batman: Arkham Trilogy)","Cartman (South Park: The Stick of Truth)","Mono (Little Nightmares II)","9S (NieR: Automata)","Nombre","Errors","Url","Network ID"
"9c2e4032-71bc-4b8c-9513-5ff49925492c","Mon Feb 24 2025 02:15:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 24 2025 02:15:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","1000","900","925","975","Cáster","None","https://build.fillout.com/editor/1UJRubwfTvus/results?sessionId=9c2e4032-71bc-4b8c-9513-5ff49925492c","95c70f5978eae9954e3f52b64af961cd"
"1b526606-28dc-4b30-863e-350a659cae9d","Sat Feb 08 2025 12:45:00 GMT+0100 (hora estándar de Europa central)","Sat Feb 08 2025 12:45:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","975","800","825","875","Pablo","None","https://build.fillout.com/editor/1UJRubwfTvus/results?sessionId=1b526606-28dc-4b30-863e-350a659cae9d","7ba4a41dfa0f97ee3f1b051da77e9a79"
"2ddff361-3f36-4935-bf1f-be1e857875b0","Sun Feb 02 2025 16:32:00 GMT+0100 (hora estándar de Europa central)","Sun Feb 02 2025 16:32:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","900","800","900","900","950","Sergio","None","https://build.fillout.com/editor/1UJRubwfTvus/results?sessionId=2ddff361-3f36-4935-bf1f-be1e857875b0","e44695648cd50d72d870073e35c0ca25"
