"Submission ID","Last updated","Submission started","Status","Current step","Ezio's Family | Assassin's Creed 2","Tema principal | Return of the Obra Dinn","Tema principal | Tomb Raider: Legend","Mantis Lords | Hollow Knight","Comet Observatory | Super Mario Galaxy","Nombre","Errors","Url","Network ID"
"0f734a33-f684-4518-8c04-f424eb1750bb","Thu Feb 12 2026 01:54:00 GMT+0100 (hora estándar de Europa central)","Thu Feb 12 2026 01:54:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","800","850","900","950","Cáster","None","https://build.fillout.com/editor/nzYdMcU4Mius/results?sessionId=0f734a33-f684-4518-8c04-f424eb1750bb","dd3dd4cb234ddd78bf064e0bec39bcf3"
"54c3d3b0-c2bd-401e-9cac-25344d0f5639","Mon Feb 09 2026 12:37:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 09 2026 12:37:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","950","925","900","780","Ana","None","https://build.fillout.com/editor/nzYdMcU4Mius/results?sessionId=54c3d3b0-c2bd-401e-9cac-25344d0f5639","bcb54be30852e9b4bd989632764369df"
"393ab67e-6497-4de9-8730-9713bebd2855","Wed Jan 28 2026 13:16:00 GMT+0100 (hora estándar de Europa central)","Wed Jan 28 2026 13:16:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","850","875","950","935","Pablo","None","https://build.fillout.com/editor/nzYdMcU4Mius/results?sessionId=393ab67e-6497-4de9-8730-9713bebd2855","9dbaf1e347b3a595b74c9e8d56d36404"
