"Submission ID","Last updated","Submission started","Status","Current step","Assassin's Creed II","Deathloop","Detroit Become Human","Indivisible","Inscryption","Outer Wilds","Limbo","Ori and the Will of the Wisps","Super Meat Boy","Nombre","Errors","Url","Network ID"
"afb7f61e-63c4-43f5-9bae-34f40166915b","Mon Feb 24 2025 02:39:00 GMT+0100 (hora estándar de Europa central)","Mon Feb 24 2025 02:39:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","1000","850","700","900","950","900","800","800","1000","Cáster","None","https://build.fillout.com/editor/oPy6tcmWPcus/results?sessionId=afb7f61e-63c4-43f5-9bae-34f40166915b","95c70f5978eae9954e3f52b64af961cd"
"c41c086d-dd03-4c99-9150-54c742fe04bf","Sat Feb 08 2025 11:41:00 GMT+0100 (hora estándar de Europa central)","Sat Feb 08 2025 11:41:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","825","950","750","800","850","1000","825","900","950","Pablo","None","https://build.fillout.com/editor/oPy6tcmWPcus/results?sessionId=c41c086d-dd03-4c99-9150-54c742fe04bf","7ba4a41dfa0f97ee3f1b051da77e9a79"
"3cddd9a7-b152-4cd5-a94f-d20c7ddfeecc","Sun Feb 02 2025 16:04:00 GMT+0100 (hora estándar de Europa central)","Sun Feb 02 2025 16:04:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","600","700","500","1000","1000","900","900","950","900","Sergio","None","https://build.fillout.com/editor/oPy6tcmWPcus/results?sessionId=3cddd9a7-b152-4cd5-a94f-d20c7ddfeecc","e44695648cd50d72d870073e35c0ca25"
