"Submission ID","Last updated","Submission started","Status","Current step","DOOM: The Dark Ages","Blasphemous","Cuphead","Deathloop","The Last Clockwinder","Tomb Raider (2013)","Dispatch","Lil Guardsman","The Alters","A Plague Tale: Innocence","The Last of Us Parte I","Tunic","Nobody Saves the World","Lego Batman: The Videogame","Hitman","Nombre","Errors","Url","Network ID"
"c1e04d3c-c1af-4ba1-b78d-b1448b3f79ed","Sat Jan 03 2026 10:52:00 GMT+0100 (hora estándar de Europa central)","Sat Jan 03 2026 10:52:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","700","910","950","960","925","975","1000","960","800","900","980","900","950","900","990","Cáster","None","https://build.fillout.com/editor/32Dv1ym12Vus/results?sessionId=c1e04d3c-c1af-4ba1-b78d-b1448b3f79ed","81885a693079eee0cbfca00b47af9622"
"df499264-99bb-4215-afe1-03453b7fb059","Fri Jan 02 2026 23:51:00 GMT+0100 (hora estándar de Europa central)","Fri Jan 02 2026 23:51:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","775","950","901","824","766","880","1000","851","852","709","900","950","780","800","703","Ana","None","https://build.fillout.com/editor/32Dv1ym12Vus/results?sessionId=df499264-99bb-4215-afe1-03453b7fb059","6c8ff5596a7a2a823a7e0cd0192bf582"
"3444a730-096a-4563-bc6a-c669c5fa18db","Fri Jan 02 2026 23:30:00 GMT+0100 (hora estándar de Europa central)","Fri Jan 02 2026 23:30:00 GMT+0100 (hora estándar de Europa central)","finished","Ending","800","800","875","900","700","800","875","835","935","900","1000","950","950","825","700","Pablo","None","https://build.fillout.com/editor/32Dv1ym12Vus/results?sessionId=3444a730-096a-4563-bc6a-c669c5fa18db","9dbaf1e347b3a595b74c9e8d56d36404"
