Premio;Nominado;URL;Marca de tiempo (Ej=00:30-01:00)
what-is-that-melody;Super Mario Odyssey;https://www.youtube.com/watch?v=Hqe9CIHO5gw&ab_channel=GamersPrey;03:08-03:40
what-is-that-melody;Neva;https://www.youtube.com/watch?v=mQfK8JIrtlQ&t=1491s&ab_channel=GamersPrey;56:47-57:17
hans-williams;Gwyn, Lord of Cinder (Dark Souls);https://www.youtube.com/watch?v=VIeqxGaZnFo&ab_channel=BossFightDatabase;00:00-00:30
hans-williams;Main Theme (Little Nightmares II);https://www.youtube.com/watch?v=e3l2WEqLApQ&ab_channel=GamesMusic;01:00-01:30
hans-williams;Break Free (Lead the Way) (Super Mario Odyssey);https://www.youtube.com/watch?v=t7qQzM_Vs9Y&ab_channel=Sadwich;00:00-00:30
hans-williams;Amusement Park (NieR: Automata);https://www.youtube.com/watch?v=hNdc9LRH25w&ab_channel=Skwiddlly;00:00-00:32
hans-williams;Detour (Neva);https://www.youtube.com/watch?v=dotWGSv2kug&ab_channel=BeatsAndPixels;01:33-02:03
musica-momento;Jump Up, Super Star! (Super Mario Odyssey);https://www.youtube.com/watch?v=h1IHvzwUd6w&ab_channel=AFGuidesHD;04:40-05:11
musica-momento;Intro (I Expect You To Die 2);https://www.youtube.com/watch?v=pQE7jf9LCfk&ab_channel=SchellGames;01:40-02:10
musica-momento;Llévame al Manicomio (Batman: Arkham Knight);https://www.youtube.com/watch?v=brue4xDkdgc&ab_channel=Dafits1997;00:00-00:30
musica-momento;Pelea con Ingun (Senua's Saga: Hellblade II);https://www.youtube.com/watch?v=cB7_S7IKMF4&t=436s&ab_channel=DanAllenGaming;06:10-06:40
musica-momento;Rompiendo la Barrera (Hi-Fi Rush);https://www.youtube.com/watch?v=KClWfvrHL_I&ab_channel=KimchiTekken%28%EA%B9%80%EC%B9%98%E9%89%84%E6%8B%B3%29;03:09-03:45
comedy-bender;Cartman (South Park: Stick of Truth);https://www.youtube.com/watch?v=vWH2EcA2usc&t=52s&ab_channel=TheGOODKyle;00:06-00:34
comedy-bender;Joker (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=ENKAPRTtCLg&ab_channel=DarkPlayerGamingTV;27:00-27:40
comedy-bender;CNMN (Hi-Fi Rush);https://www.youtube.com/watch?v=PyCC1ZIJXzo&ab_channel=RaRa;00:20-00:43
comedy-bender;Rash (Battletoads);https://www.youtube.com/watch?v=IHwYyHt1XAk&ab_channel=Strike-Games;17:53-18:29
comedy-bender;Randy (South Park: Stick of Truth);https://www.youtube.com/watch?v=pA1D61jKnjs&ab_channel=Chelone;00:00-00:30
im-just-ken;Joker (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=BnS2r_guf3Y&ab_channel=RockDevil;54:45-55:17
im-just-ken;Batman (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=exPN3-80hJE&ab_channel=DarkPlayerGamingTV;24:41-25:13
im-just-ken;Cartman (South Park: The Stick of Truth);https://www.youtube.com/watch?v=vWH2EcA2usc&t=52s&ab_channel=TheGOODKyle;08:52-09:18
