Corazón de dragón tema final- Corazón de dragón;10,00;X;https://youtu.be/GmV1Mmddvb8;01:56-02:26;
To give a marionette life - Hunter x Hunter;8,00;;;;
A Watchful Guardian - The Dark Knight;10,00;;;;
Allerdale Hall - La Cumbre Escarlata;10,00;;;;
Hanezeve Caradhina - Made in Abyss;6,50;;;;
The Other Side - Gattaca;8,50;;;;
I think i did - Lovely runner;7,50;;;;
Love theme - El padrino;10,00;;;;
Jaws, Main Theme - Jaws;8,50;;;;
Theme from Schindler’s List - Schindler’s List;10,00;;;;
Transformación - Hermano Oso;7,25;;;;
A Gift of A Thistle - Braveheart;9,75;;;;
Surrounded - El hombre de la máscara de hierro;10,00;X;https://youtu.be/FkM4d3gA9j8;01:05-01:35;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;10,00;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;7,75;;;;
An Immortal conffesion - Fumetsu no anata e.;7,75;;;;
Table for two - Animales Nocturnos;9,50;;;;
Cuckold Comes Out - Master & Commander;8,50;;;;
Lo extraño que soy - Tarzán;8,00;;;;
Pinks Soldiers 23 - Juego del calamar;7,25;;;;
Twin Peaks - Twin Peaks;5,75;;;;
Main title - El resplandor;7,50;;;;
Ashoka vs Maul - Star Wars: Clone Wars;8,50;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;9,50;;;;
Bso Leyendas de pasión- Leyendas de pasión;10,00;X;https://youtu.be/GCUEuRFeFUk;01:07-01:37;
Sauron - El señor de los anillos: Los Anillos de Poder;9,00;;;;
Madder Sky - Code Geass;8,50;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;7,85;;;;
Sadness Waltz - The picture of Dorian Gray;8,25;;;;
The Ecstasy of gold - El bueno, el feo y el malo;7,00;;;;
She will kill you - Stranger things;7,50;;;;
La vita è Bella - La Vita è Bella;10,00;;;;
Death is the road to Awe - The Fountain;8,65;;;;
The rains of Castamere - Juego de Tronos;10,00;;;;
