Hanezeve Caradhina - Made in Abyss;7;;;;
The Other Side - Gattaca;9;x;https://youtu.be/-PDter1EKbk?si=ZPUtNJfuxhMYhFid;;
I think i did - Lovely runner;7;;;;
Love theme - El padrino;9;;;;
Jaws, Main Theme - Jaws;7;;;;
Theme from Schindler’s List - Schindler’s List;9;;;;
Transformación - Hermano Oso;7;;;;
A Gift of A Thistle - Braveheart;9;;;;
Surrounded - El hombre de la máscara de hierro;7;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;7;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;8;;;;
An Immortal conffesion - Fumetsu no anata e.;7;;;;
Table for two - Animales Nocturnos;9;x;https://youtu.be/OEZ9wLE9qZo?si=wbJuoTMwHC6SBqW0;;
Cuckold Comes Out - Master & Commander;8;;;;
Lo extraño que soy - Tarzán;9;;;;
Pinks Soldiers 23 - Juego del calamar;6;;;;
Twin Peaks - Twin Peaks;9;;;;
Main title - El resplandor;7;;;;
Ashoka vs Maul - Star Wars: Clone Wars;7;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;8;;;;
Bso Leyendas de pasión- Leyendas de pasión;9;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;8;;;;
Madder Sky - Code Geass;8;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;6;;;;
Sadness Waltz - The picture of Dorian Gray;7;;;;
The Ecstasy of gold - El bueno, el feo y el malo;10;x;https://youtu.be/rKFpaCMRWgU?si=6xKhUnLPHAq8we7j;;
She will kill you - Stranger things;8'6;;;;
La vita è Bella - La Vita è Bella;7;;;;
Death is the road to Awe - The Fountain;7;;;;
The rains of Castamere - Juego de Tronos;7;;;;
