Low of Solipsism - Death Note;10;X;https://www.youtube.com/watch?v=CXfWlg5yAzc;00:37 - 01:07;
Destroyer of Worlds - Oppenheimer;6,5;;;;
Sin mirar atrás - La ruta hacia el dorado;4,5;;;;
Corazón de dragón tema final- Corazón de dragón;7,5;;;;
To give a marionette life - Hunter x Hunter;8,5;;;;
A Watchful Guardian - The Dark Knight;8,5;;;;
Allerdale Hall - La Cumbre Escarlata;6;;;;
Hanezeve Caradhina - Made in Abyss;10;X;https://drive.google.com/file/d/1Sd8JMT1jfmI0BIB1PwArm8RqnLwZ-M6v/view?usp=sharing;02:13 - 02:43;
The Other Side - Gattaca;8,5;;;;
I think i did - Lovely runner;8;;;;
Love theme - El padrino;7;;;;
Jaws, Main Theme - Jaws;6,5;;;;
Theme from Schindler’s List - Schindler’s List;6;;;;
Transformación - Hermano Oso;7,5;;;;
A Gift of A Thistle - Braveheart;9;;;;
Surrounded - El hombre de la máscara de hierro;7;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;8,5;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;9,5;X;https://www.youtube.com/watch?v=7oTr2fL8VLo;00:44 - 01:14;
An Immortal conffesion - Fumetsu no anata e.;8;;;;
Table for two - Animales Nocturnos;6,5;;;;
Cuckold Comes Out - Master & Commander;6;;;;
Lo extraño que soy - Tarzán;6,5;;;;
Pinks Soldiers 23 - Juego del calamar;6,5;;;;
Twin Peaks - Twin Peaks;6,5;;;;
Main title - El resplandor;7,5;;;;
Ashoka vs Maul - Star Wars: Clone Wars;7,5;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;7;;;;
Bso Leyendas de pasión- Leyendas de pasión;8;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;9,5;;;;
Madder Sky - Code Geass;10;X;https://drive.google.com/file/d/1BLQfzsmKtq8NfbVEV8VfAD04m5tjQ2Uu/view?usp=sharing;01:39 - 02:11;
Rengoku vs Akaza - Kimetsu no Yaiba;10;;;;
Sadness Waltz - The picture of Dorian Gray;10;;;;
The Ecstasy of gold - El bueno, el feo y el malo;10;;;;
She will kill you - Stranger things;6,5;;;;
La vita è Bella - La Vita è Bella;8,5;;;;
Death is the road to Awe - The Fountain;8;;;;
The rains of Castamere - Juego de Tronos;10;;;;
