Destroyer of Worlds - Oppenheimer;9.33;X;https://www.youtube.com/watch?v=g_qErbrGHLo;0:37 - 1:07;
Sin mirar atrás - La ruta hacia el dorado;7.75;;;;
Corazón de dragón tema final- Corazón de dragón;8.5;;;;
To give a marionette life - Hunter x Hunter;7;;;;
A Watchful Guardian - The Dark Knight;8.25;;;;
Allerdale Hall - La Cumbre Escarlata;8.75;;;;
Hanezeve Caradhina - Made in Abyss;8.5;;;;
The Other Side - Gattaca;9;;;;
I think i did - Lovely runner;6.5;;;;
Love theme - El padrino;9.25;;;;
Jaws, Main Theme - Jaws;6.5;;;;
Theme from Schindler’s List - Schindler’s List;9.5;;;;
Transformación - Hermano Oso;8.75;;;;
A Gift of A Thistle - Braveheart;9.5;X;https://www.youtube.com/watch?v=LL--prfnuJ8;0:36 - 1:06;
Surrounded - El hombre de la máscara de hierro;8.75;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;9;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;9.33;;;;
An Immortal conffesion - Fumetsu no anata e.;9.5;;;;
Table for two - Animales Nocturnos;10;;;;
Cuckold Comes Out - Master & Commander;7.5;;;;
Lo extraño que soy - Tarzán;8;;;;
Pinks Soldiers 23 - Juego del calamar;6;;;;
Twin Peaks - Twin Peaks;9;;;;
Main title - El resplandor;6.5;;;;
Ashoka vs Maul - Star Wars: Clone Wars;9.5;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;9.25;X;https://www.youtube.com/watch?v=VpJWOblENBc;0:00 - 0:30;
Bso Leyendas de pasión- Leyendas de pasión;7.75;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;8.5;;;;
Madder Sky - Code Geass;7.75;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;9.5;;;;
Sadness Waltz - The picture of Dorian Gray;9.5;;;;
The Ecstasy of gold - El bueno, el feo y el malo;9;;;;
She will kill you - Stranger things;8.75;;;;
La vita è Bella - La Vita è Bella;8;;;;
Death is the road to Awe - The Fountain;10;;;;
The rains of Castamere - Juego de Tronos;8.75;;;;
