Sin mirar atrás - La ruta hacia el dorado;6;;;;
Corazón de dragón tema final- Corazón de dragón;7,2;;;;
To give a marionette life - Hunter x Hunter;6;;;;
A Watchful Guardian - The Dark Knight;7,5;;;;
Allerdale Hall - La Cumbre Escarlata;6,8;;;;
Hanezeve Caradhina - Made in Abyss;9;;;;
The Other Side - Gattaca;4,5;;;;
I think i did - Lovely runner;10;X;https://youtu.be/IgAj75hi_pM?si=huY1nbBdnqGCs8Fu;2:55-3:25;
Love theme - El padrino;4,2;;;;
Jaws, Main Theme - Jaws;7,75;;;;
Theme from Schindler’s List - Schindler’s List;6,2;;;;
Transformación - Hermano Oso;7,85;;;;
A Gift of A Thistle - Braveheart;6;;;;
Surrounded - El hombre de la máscara de hierro;8;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;5,5;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;8,25;;;;
An Immortal conffesion - Fumetsu no anata e.;9,5;;;;
Table for two - Animales Nocturnos;3,5;;;;
Cuckold Comes Out - Master & Commander;6,5;;;;
Lo extraño que soy - Tarzán;9;;;;
Pinks Soldiers 23 - Juego del calamar;8;X;https://youtu.be/vlzNwtKneZM?si=9Cwf6IAaeZHWuEEE;0:00-0:30;
Twin Peaks - Twin Peaks;4;;;;
Main title - El resplandor;7,75;;;;
Ashoka vs Maul - Star Wars: Clone Wars;6,2;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;4,5;;;;
Bso Leyendas de pasión- Leyendas de pasión;3;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;7,4;;;;
Madder Sky - Code Geass;8,5;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;9,4;;;;
Sadness Waltz - The picture of Dorian Gray;10;;;;
The Ecstasy of gold - El bueno, el feo y el malo;9,5;;;;
She will kill you - Stranger things;9;X;https://youtu.be/ly2ox8vP0Z0?si=J3Ya4VtEeZiEy_DX;0:40-1:10;
La vita è Bella - La Vita è Bella;9,6;;;;
Death is the road to Awe - The Fountain;7;;;;
The rains of Castamere - Juego de Tronos;6,6;;;;
